"","x"
"1","P05023-1"
"2","P20701-1"
"3","P20701-2"
"4","O15031"
"5","P05107"
"6","P13612"
"7","Q13308-1"
"8","Q13308-6"
"9","P01892"
"10","P09874"
"11","Q9BQE3"
"12","P05556-1"
"13","P20700"
"14","P10316"
"15","Q04826"
"16","O14672"
"17","P50895"
"18","Q13885"
"19","P30479"
"20","Q9NR30-1"
"21","P78347-1"
"22","P78347-2"
"23","P78347-3"
"24","P78347-4"
"25","P30459"
"26","Q8NC51-1"
"27","Q04637-6"
"28","O43390-1"
"29","P30460"
"30","P30480"
"31","P30464"
"32","P30508"
"33","P17813-1"
"34","P17813-2"
"35","Q9ULF5"
"36","P18465"
"37","P30447"
"38","P03989"
"39","Q13740-1"
"40","Q13740-2"
"41","P43121-1"
"42","P30453"
"43","Q92854-1"
"44","P12236"
"45","P30486"
"46","P42167-1"
"47","P30481"
"48","P27694"
"49","Q14839-1"
"50","Q14839-2"
"51","P30491"
"52","P30685"
"53","P01889"
"54","P30487"
"55","P30488"
"56","Q9NPH3-1"
"57","P30495"
"58","P10319"
"59","Q29940"
"60","P30492"
"61","P18463"
"62","P00505"
"63","P08648"
"64","Q9NY65-1"
"65","Q9NY65-2"
"66","P30490"
"67","P98172"
"68","P58876"
"69","P04222"
"70","P16190"
"71","P30475"
"72","Q29836"
"73","Q95365"
"74","P16188"
"75","P07954-1"
"76","P07954-2"
"77","P30499"
"78","Q9P2B2"
"79","P23634-1"
"80","P23634-8"
"81","P23634-7"
"82","P23634-6"
"83","P09429"
"84","Q31612"
"85","P04439"
"86","P35613-1"
"87","P35613-2"
"88","P49792"
"89","P06899"
"90","Q16778"
"91","P23527"
"92","P33778"
"93","Q15262-2"
"94","Q15262-3"
"95","P30466"
"96","Q14126"
"97","Q9Y4D7-1"
"98","P10321"
"99","Q95604"
"100","Q13449"
"101","Q09028-1"
"102","Q09028-3"
"103","Q14978-1"
"104","Q14978-3"
"105","Q14978-2"
"106","Q8N257"
"107","P42167-2"
"108","Q14204"
"109","Q02338"
"110","P30501"
"111","P32942"
"112","P00367"
"113","O95373"
"114","P42765"
"115","P48960-1"
"116","P48960-2"
"117","P48960-3"
"118","P07948-1"
"119","P07948-2"
"120","P53675-1"
"121","P53675-2"
"122","P27105-1"
"123","P37268"
"124","P61604"
"125","Q8WTV0-2"
"126","Q8WTV0-4"
"127","P42081-1"
"128","P42081-3"
"129","Q09160"
"130","Q99623"
"131","P01903"
"132","Q15424"
"133","P35613-3"
"134","Q92692-1"
"135","P16615-1"
"136","P16615-3"
"137","P16615-2"
"138","P16615-4"
"139","P16615-5"
"140","Q3ZCM7"
"141","P16284-1"
"142","P16284-2"
"143","P16284-3"
"144","P16284-6"
"145","Q9Y624"
"146","Q5Y7A7"
"147","P11388-1"
"148","P11388-4"
"149","P11388-2"
"150","P11388-3"
"151","Q8N183"
"152","Q13733-1"
"153","P04899-1"
"154","P04899-4"
"155","Q16891-1"
"156","Q16891-2"
"157","P46779-1"
"158","Q13011"
"159","O43278-1"
"160","Q8TEX9-1"
"161","Q8TEX9-2"
"162","P62979"
"163","P54760"
"164","P17342-1"
"165","P17342-2"
"166","Q13547"
"167","P83731"
"168","P10586-1"
"169","P10586-2"
"170","O15427"
"171","O15269-1"
"172","P53985"
"173","P51610-1"
"174","P51610-2"
"175","P31942-1"
"176","P31942-2"
"177","Q08945"
"178","Q15366-1"
"179","Q15366-2"
"180","Q15366-5"
"181","Q15043-1"
"182","Q15043-3"
"183","Q15043-2"
"184","Q7Z3B1"
"185","Q9NX58"
"186","Q9NQC3-1"
"187","Q9NQC3-2"
"188","Q9NQC3-5"
"189","P35659-1"
"190","P12814-1"
"191","P12814-3"
"192","P12814-2"
"193","P78324-1"
"194","P78324-2"
"195","P78324-4"
"196","Q9NSI8-1"
"197","Q9NSI8-3"
"198","O00410-1"
"199","O00410-3"
"200","P17301"
"201","P27695"
"202","P46060"
"203","P20039"
"204","Q7L1Q6-1"
"205","Q7L1Q6-2"
"206","Q7L1Q6-3"
"207","Q7L1Q6-4"
"208","P61769"
"209","Q13162"
"210","Q16851-1"
"211","Q16851-2"
"212","O43736-1"
"213","O43736-2"
"214","Q13148-1"
"215","Q13148-2"
"216","Q15392"
"217","O94776"
"218","O95573"
"219","P29350-1"
"220","P29350-4"
"221","P29350-3"
"222","Q9UI08-1"
"223","Q9UI08-2"
"224","Q99536"
"225","Q9Y639-1"
"226","Q9Y639-2"
"227","Q9NV96-1"
"228","O43684-1"
"229","O43684-2"
"230","O00116"
"231","Q9Y224"
"232","P46778"
"233","Q92769"
"234","O60610-1"
"235","O60610-3"
"236","O60610-2"
"237","P15927-1"
"238","P15927-2"
"239","P15927-3"
"240","P25445-1"
"241","P25445-6"
"242","Q13242"
"243","Q96PK6-1"
"244","O75323-1"
"245","Q13310-1"
"246","Q13310-3"
"247","Q13310-2"
"248","Q96PQ1-1"
"249","P54753"
"250","Q9NVP1"
"251","P04229"
"252","Q29974"
"253","Q10567-3"
"254","Q10567-2"
"255","Q10567-1"
"256","P34897-1"
"257","P34897-3"
"258","P34897-2"
"259","P31946-1"
"260","P31946-2"
"261","O95864-1"
"262","Q9UQE7"
"263","P62136-1"
"264","P62136-2"
"265","O75367-1"
"266","O75367-2"
"267","O75367-3"
"268","Q96SI9-1"
"269","Q96SI9-2"
"270","P07737"
"271","Q9Y6E2"
"272","P28906-1"
"273","Q9UBB4-1"
"274","Q9UBB4-2"
"275","P33527-1"
"276","P33527-9"
"277","P33527-7"
"278","P33527-4"
"279","P33527-3"
"280","Q562R1"
"281","Q5ZPR3-1"
"282","Q14739"
"283","Q9UGN4-1"
"284","P05362"
"285","P16403"
"286","Q13151"
"287","P43487"
"288","Q969P0-1"
"289","Q969P0-3"
"290","P27487"
"291","O15127"
"292","P15531-1"
"293","P15531-2"
"294","P84243"
"295","P02765"
"296","Q15363"
"297","Q92896-1"
"298","Q92896-2"
"299","Q92896-3"
"300","Q71DI3"
"301","O95297-1"
"302","O95297-2"
"303","P18754-1"
"304","P18754-2"
"305","Q9H4B7"
"306","P11233"
"307","Q99733"
"308","O00560-1"
"309","O00560-2"
"310","O00560-3"
"311","Q92542-1"
"312","Q92542-2"
"313","O15270"
"314","Q9BWF3-1"
"315","Q92820"
"316","Q9BVK6"
"317","Q9Y490"
"318","Q9BX67-1"
"319","P68431"
"320","P50402"
"321","Q9UBG0"
"322","P54709"
"323","O75475-1"
"324","Q9Y2X3"
"325","Q9Y6M5"
"326","P15151-1"
"327","P15151-3"
"328","P15151-2"
"329","P62841"
"330","Q9H4A6"
"331","P18669"
"332","Q13576-2"
"333","Q07108"
"334","P54707-1"
"335","P54707-2"
"336","P99999"
"337","P62158"
"338","Q9Y5B9"
"339","P46977"
"340","P22695"
"341","Q9NVI7-1"
"342","Q9NVI7-2"
"343","O75369-5"
"344","O75369-4"
"345","Q8IWS0-1"
"346","Q8IWS0-2"
"347","O60884"
"348","P22087"
"349","P55265-1"
"350","P55265-5"
"351","P55265-4"
"352","P55265-3"
"353","P55265-2"
"354","O95758-1"
"355","O95758-3"
"356","O95758-5"
"357","O95758-2"
"358","O95758-4"
"359","O95758-6"
"360","O75144-1"
"361","O75144-2"
"362","Q3ZCQ8-1"
"363","Q3ZCQ8-2"
"364","P55769"
"365","O95297-3"
"366","Q13433-1"
"367","P00403"
"368","Q9BUQ8"
"369","Q8NBQ5"
"370","O00483"
"371","Q16666-1"
"372","Q16666-3"
"373","Q16666-7"
"374","Q16666-2"
"375","Q16531"
"376","Q8NB49-1"
"377","Q8NB49-3"
"378","Q8NB49-2"
"379","Q8NB49-4"
"380","Q92922"
"381","P00846"
"382","O00232-2"
"383","Q8WUX1-1"
"384","Q15005"
"385","Q8N5K1"
"386","Q08431-1"
"387","P38606"
"388","P08962"
"389","P82970"
"390","Q9H0D6-1"
"391","Q9H0D6-2"
"392","Q14980-1"
"393","Q14980-2"
"394","P63167"
"395","P08574"
"396","Q13423"
"397","Q96N66-1"
"398","Q96N66-2"
"399","P25098"
"400","Q9UHB9-1"
"401","P54886-1"
"402","P54886-2"
"403","Q14157-1"
"404","Q14157-4"
"405","Q14157-3"
"406","Q14157-5"
"407","Q14157-2"
"408","P09493-1"
"409","P09493-3"
"410","P09493-2"
"411","P09493-5"
"412","P09493-7"
"413","P09493-6"
"414","P09493-4"
"415","Q10471"
"416","P31930"
"417","Q99798"
"418","P06213-1"
"419","P06213-2"
"420","O95466-1"
"421","O95466-3"
"422","O95466-2"
"423","Q00059"
"424","Q10589"
"425","O00182-1"
"426","O00182-2"
"427","P42766"
"428","Q9Y5L4"
"429","P62314"
"430","Q9Y305-1"
"431","Q9Y305-4"
"432","Q9Y305-2"
"433","O00567"
"434","Q6P4Q7"
"435","Q9NTJ5"
"436","Q5JQF8"
"437","Q9BPW8"
"438","Q01081-1"
"439","P14136-1"
"440","P14136-2"
"441","P14136-3"
"442","Q8IUE6"
"443","P84103"
"444","Q8N3U4-1"
"445","Q8N3U4-2"
"446","Q02487-1"
"447","Q99808"
"448","Q29RF7-1"
"449","O15126-1"
"450","Q96CW1-1"
"451","Q96CW1-2"
"452","P05114"
"453","Q15370"
"454","O43699-1"
"455","O43699-3"
"456","Q92973-1"
"457","Q92973-2"
"458","P24557"
"459","Q14315-1"
"460","Q14315-2"
"461","Q9BV40"
"462","P11177-3"
"463","P15144"
"464","Q92616"
"465","O75396"
"466","Q9H0A0"
"467","P05026-1"
"468","P05026-2"
"469","Q14761"
"470","Q5SRE5-1"
"471","Q5SRE5-2"
"472","P63151-1"
"473","P63151-2"
"474","Q14258"
"475","O00592-1"
"476","O00592-2"
"477","O43670-1"
"478","O43670-2"
"479","Q9UK45"
"480","O15260-1"
"481","O15260-2"
"482","Q9Y5A9-1"
"483","Q9Y5A9-2"
"484","P62995-1"
"485","P62995-3"
"486","Q9UKY7-1"
"487","Q9UKY7-2"
"488","P46087-1"
"489","P46087-2"
"490","P43307-1"
"491","P43307-2"
"492","Q8NBX0"
"493","P30419-1"
"494","P30419-2"
"495","Q14498-1"
"496","Q14498-2"
"497","Q14498-3"
"498","O75027-1"
"499","O75027-2"
"500","P01730"
"501","Q9Y3U8"
"502","Q92925-1"
"503","Q92925-2"
"504","Q92925-3"
"505","Q3B8N2-1"
"506","Q3B8N2-2"
"507","Q6DKI2"
"508","Q8WUM4"
"509","P17096-1"
"510","P17096-3"
"511","O43395"
"512","Q9BW27"
"513","P06730-1"
"514","P06730-2"
"515","P06730-3"
"516","P13987"
"517","Q9BQG0-1"
"518","Q9BQG0-2"
"519","Q92598-1"
"520","Q92598-3"
"521","Q92598-2"
"522","Q68CR1-1"
"523","Q68CR1-3"
"524","Q68CR1-2"
"525","P04179-1"
"526","P04179-2"
"527","P82673-1"
"528","P82673-2"
"529","P63241-1"
"530","Q9GZV4"
"531","P63241-2"
"532","Q9H2H9"
"533","Q14118"
"534","Q16352"
"535","P43304-1"
"536","P43304-2"
"537","Q5T4S7-1"
"538","Q5T4S7-2"
"539","Q5T4S7-4"
"540","Q5T4S7-3"
"541","P50502"
"542","Q8IZP2"
"543","Q96H79-1"
"544","P22314"
"545","Q9BRP8-1"
"546","Q9BRP8-2"
"547","P05204"
"548","Q6ZWK4"
"549","Q9H853"
"550","Q8WWC4"
"551","Q8N726-1"
"552","Q9UKD2"
"553","O14975-1"
"554","O14975-2"
"555","P21281"
"556","P35251-1"
"557","P35251-2"
"558","P62273-1"
"559","P62273-2"
"560","P15153"
"561","P63000-1"
"562","P60763"
"563","P63000-2"
"564","O75581"
"565","P62861"
"566","Q9Y6N5"
"567","P22492"
"568","P50416-1"
"569","P50416-2"
"570","Q96EP5-1"
"571","Q96EP5-2"
"572","Q4KMQ2-1"
"573","Q4KMQ2-2"
"574","Q9ULD0-3"
"575","Q9ULD0-1"
"576","Q9ULD0-2"
"577","Q9Y6H1"
"578","O60879-1"
"579","O60879-3"
"580","O60879-2"
"581","Q9BZE1"
"582","Q16836-1"
"583","Q16836-2"
"584","P69905"
"585","P09496-1"
"586","P09496-3"
"587","P09496-4"
"588","P45973"
"589","Q9H3N1"
"590","O60832-1"
"591","P60033"
"592","Q8IYB9"
"593","Q8NBI5"
"594","Q9NZB2-1"
"595","Q9NZB2-6"
"596","Q9NZB2-4"
"597","P02042"
"598","P68871"
"599","Q9Y6D6"
"600","Q8NFZ8"
"601","Q92900-1"
"602","Q92900-2"
"603","Q2TAY7"
"604","Q9Y5S1"
"605","Q9H0U6"
"606","P49756-1"
"607","Q92835-1"
"608","Q92835-2"
"609","P08069"
"610","Q9H2K8"
"611","P40938"
"612","Q96CT7"
"613","O75915"
"614","P60468"
"615","P14209-1"
"616","P62910"
"617","P63092-1"
"618","P63092-3"
"619","Q5JWF2-2"
"620","P63092-2"
"621","Q5JWF2-1"
"622","P20645"
"623","Q8TCZ2-1"
"624","Q8TCZ2-6"
"625","Q8TCZ2-2"
"626","Q8TCZ2-5"
"627","Q8TCZ2-3"
"628","Q92619-1"
"629","Q92619-2"
"630","P15529-1"
"631","P15529-10"
"632","P15529-4"
"633","P15529-5"
"634","P15529-12"
"635","P15529-15"
"636","P15529-6"
"637","P15529-11"
"638","P15529-13"
"639","P15529-9"
"640","P15529-16"
"641","P15529-3"
"642","P15529-14"
"643","P15529-7"
"644","P15529-2"
"645","P15529-8"
"646","Q9BY44-1"
"647","Q13797"
"648","Q8WWM7-1"
"649","Q8WWM7-2"
"650","Q8WWM7-5"
"651","Q8WWM7-8"
"652","Q8WWM7-6"
"653","Q8WWM7-4"
"654","Q8WWM7-3"
"655","Q53GQ0"
"656","P56378"
"657","Q12974-1"
"658","Q93096"
"659","Q12769-1"
"660","Q8NFH5"
"661","Q96JB1-1"
"662","Q96JB1-2"
"663","Q9BZZ5-1"
"664","Q9BZZ5-2"
"665","Q9BZZ5-5"
"666","Q9BZZ5-3"
"667","Q9BZZ5-4"
"668","O60264"
"669","P28370-2"
"670","P28370-1"
"671","P17693"
"672","P61803"
"673","P00813"
"674","P13598"
"675","Q7Z739"
"676","Q9BYJ9-1"
"677","P56385"
"678","P34932"
"679","O14776-1"
"680","O14776-2"
"681","Q8TF62"
"682","P43007-1"
"683","P43007-2"
"684","P01589"
"685","Q99442"
"686","Q99653"
"687","P19634-1"
"688","Q96EL3"
"689","Q9P2J5"
"690","Q86YP4-1"
"691","Q86YP4-2"
"692","P46776"
"693","Q6YHK3-1"
"694","Q6YHK3-2"
"695","O94826"
"696","Q86SE5-1"
"697","P49821-1"
"698","P49821-2"
"699","Q14318-1"
"700","Q14318-2"
"701","P10620"
"702","P02656"
"703","O14929-1"
"704","O14929-2"
"705","P20718"
"706","P18084"
"707","Q9H7E9-1"
"708","Q9H7E9-2"
"709","Q15427"
"710","Q92522"
"711","O15431"
"712","Q9NRW3"
"713","P04004"
"714","Q8WWI5-1"
"715","Q8WWI5-3"
"716","Q8WWI5-2"
"717","Q8N684-1"
"718","Q8N684-3"
"719","Q8N684-2"
"720","Q96ER3"
"721","Q9BPX3"
"722","P35244"
"723","Q7RTV0"
"724","Q13683-1"
"725","Q13683-3"
"726","Q13683-7"
"727","Q13683-9"
"728","Q13683-10"
"729","Q8IY67-1"
"730","Q8IY67-2"
"731","Q8IY67-3"
"732","P55060-1"
"733","P55060-3"
"734","P05067-1"
"735","P05067-8"
"736","P05067-9"
"737","P05067-7"
"738","Q9NVI1-3"
"739","Q9BYG3"
"740","P02795"
"741","P04732-1"
"742","Q8N339"
"743","P13640-2"
"744","P13640-1"
"745","P80297"
"746","P51809-1"
"747","P51809-3"
"748","P51809-2"
"749","Q13573"
"750","P34910"
"751","P61289-1"
"752","P61289-2"
"753","P61326"
"754","Q96A72"
"755","O15258"
"756","P21796"
"757","Q8N357"
"758","Q9Y4X5"
"759","Q7Z2W4-1"
"760","Q7Z2W4-2"
"761","Q7Z2W4-3"
"762","P52434"
"763","P49770"
"764","Q9Y3B3"
"765","Q9UEY8-1"
"766","Q9UEY8-2"
"767","P05165-1"
"768","P05165-3"
"769","Q9HC07"
"770","Q0VDD8-1"
"771","Q0VDD8-4"
"772","O60739"
"773","P41567"
"774","O15347"
"775","A3QJZ6"
"776","A6NGN4"
"777","Q5TYW8"
"778","Q6Y1H2"
"779","A1L0T0"
"780","Q9BXS9-1"
"781","Q9BXS9-2"
"782","Q9BXS9-3"
"783","Q14789"
"784","Q15021"
"785","Q9P253"
"786","Q8NF37"
"787","P63218"
"788","P11279"
"789","Q8WU90"
"790","Q9NY12-1"
"791","Q9NY12-2"
"792","Q9NZ45"
"793","Q96SB4-2"
"794","Q96SB4-3"
"795","Q03113"
"796","Q14344"
"797","Q9BS26"
"798","P42126-1"
"799","P42126-2"
"800","O14773-1"
"801","O14773-2"
"802","O75352"
"803","Q9Y2Q3-1"
"804","Q9Y2Q3-2"
"805","Q9Y2Q3-3"
"806","Q9Y2Q3-4"
"807","Q9C0B5-1"
"808","Q9C0B5-2"
"809","Q9Y333"
"810","Q13620-1"
"811","Q13620-2"
"812","Q13620-3"
"813","Q9BW60"
"814","Q9Y289"
"815","Q15019-1"
"816","Q15019-2"
"817","O95671-1"
"818","O95671-2"
"819","P14406"
"820","P61964"
"821","P18827"
"822","O75717"
"823","Q8N5M9"
"824","O60313-1"
"825","O60313-2"
"826","P25116"
"827","O43747-1"
"828","O43747-2"
"829","O60669"
"830","Q6PD62"
"831","Q96CS3"
"832","P56537"
"833","P08240"
"834","Q9Y277-1"
"835","Q9Y277-2"
"836","Q14242"
"837","Q04941-1"
"838","O75489"
"839","Q13428-1"
"840","Q13428-4"
"841","Q13428-5"
"842","Q13428-8"
"843","Q13428-3"
"844","Q13428-6"
"845","Q13428-7"
"846","Q13428-2"
"847","Q16718"
"848","Q15785"
"849","P57088"
"850","Q9Y3Y2-1"
"851","Q9Y3Y2-3"
"852","Q9Y3Y2-4"
"853","P42768"
"854","Q8NA57"
"855","P56134-1"
"856","P56134-2"
"857","Q9Y3B9"
"858","Q6PCB8"
"859","Q9Y3Q3-1"
"860","P48509"
"861","O95977"
"862","P82933"
"863","Q9Y6C9"
"864","Q9BQA1"
