"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6286-1.id.csv";"peptide.count.P6286-2.id.csv";"spectra.count.P6286-1.id.csv";"spectra.count.P6286-2.id.csv";"dNSAF.P6286-1.id.csv";"dNSAF.P6286-2.id.csv"
"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";21;105;0,0626913840158573;18;17;52;53;0,0609489606185727;0,0761261492039506
"162648";"162648";"162648";"162648";"albumin [Bos taurus]";"";12;23;0,0129632031057501;10;9;12;11;0,0132773112790935;0,0149147716400641
"P62937";"P62937";"P62937";"PPIA_HUMAN";"Peptidyl-prolyl cis-trans isomerase A";"PPIA";11;55;0,114038612828845;9;7;30;25;0,122111029491056;0,124700638918993
"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";8;22;0,0134006444986702;8;6;14;8;0,0169909842258198;0,0114578586183672
"P06733-1";"P06733-1";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";8;15;0,0118242801320231;5;6;6;9;NA;NA
"P40926";"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";6;15;0,0151826555541362;4;5;7;8;0,0139090965544547;0,0194798631210734
"P62805";"P62805";"P62805";"H4_HUMAN";"Histone H4";"HIST1H4F,HIST1H4L,HIST1H4H,HIST2H4B,HIST1H4I,HIST1H4B,HIST1H4A,HIST1H4E,HIST4H4,HIST2H4A,HIST1H4C,HIST1H4K,HIST1H4D,HIST1H4J";6;36;0,119574467820537;6;5;20;16;0,130409837320546;0,127848422037336
"P07737";"P07737";"P07737";"PROF1_HUMAN";"Profilin-1";"PFN1";5;16;0,0390989529698898;5;2;10;6;0,0479721901572008;0,0352724664370865
"P19338";"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";5;8;0,00385482634914406;4;3;5;3;0,00472965255070993;0,00347756711351557
"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";5;7;0,00415045211335485;3;3;3;4;0,00349190985546349;0,00570554049820002
"P38646";"P38646";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";5;13;0,00655008232742999;5;3;7;6;0,00692382125980217;0,00727267349218279
"Q15365";"Q15365";"Q15365";"PCBP1_HUMAN";"Poly(rC)-binding protein 1";"PCBP1";5;24;0,0314508942428889;4;5;13;11;0,0340626506266017;0,0339073647397711
"Q9Y490";"Q9Y490";"Q9Y490";"TLN1_HUMAN";"Talin-1";"TLN1";5;9;0,00121174441022386;5;3;6;3;0,00158585752585788;0,000971693290277866
"136429";"136429";"136429";"136429";"trypsin [Sus scrofa]";"";3;53;0,0784941101289454;3;3;30;23;0,0872221639221832;0,0819461341467667
"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";3;9;0,00738379507524897;3;2;6;3;0,00966346276547929;0,00592103753140542
"P02765";"P02765";"P02765";"FETUA_HUMAN";"Alpha-2-HS-glycoprotein";"AHSG";3;42;0,0391522212981866;3;3;22;20;0,0402600396959614;0,0448514559599647
"P04406-1,P04406-2";"P04406-1,P04406-2";"P04406-[1,2]";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";3;12;0,00612744785349019;3;3;8;4;NA;NA
"P06748-1,P06748-2,P06748-3";"P06748-1,P06748-2,P06748-3";"P06748-[1-3]";"NPM_HUMAN";"Nucleophosmin";"NPM1";3;6;0,00232731862916011;2;2;3;3;NA;NA
"P30101";"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";3;6;0,00406474263548359;3;1;4;2;0,00531968841347177;0,00325950184897169
"P52272-1,P52272-2";"P52272-1,P52272-2";"P52272-[1,2]";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";3;3;0,000702977750314799;NA;3;NA;3;NA;NA
"P61978-1,P61978-2,P61978-3";"P61978-1,P61978-2,P61978-3";"P61978-[1-3]";"HNRPK_HUMAN";"Heterogeneous nuclear ribonucleoprotein K";"HNRNPK";3;7;0,00172412589590047;2;2;3;4;NA;NA
"P62888";"P62888";"P62888";"RL30_HUMAN";"60S ribosomal protein L30";"RPL30";3;9;0,0267742830119897;2;3;4;5;0,0233603708591586;0,0357836616028414
"P68104,Q5VTE0";"P68104,Q5VTE0";"P68104, Q5VTE0";"EF1A1_HUMAN, EF1A3_HUMAN";"Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3";"EEF1A1, EEF1A1P5";5;25;0,00925638091143224;4;4;13;12;0,00944906775823651;0,0106886261930565
"Q13162";"Q13162";"Q13162";"PRDX4_HUMAN";"Peroxiredoxin-4";"PRDX4";3;3;0,00378726020464799;3;NA;3;NA;0,00743480437860676;NA
"Q15366-1,Q15366-2,Q15366-3,Q15366-4,Q15366-5,Q15366-6";"Q15366-1,Q15366-2,Q15366-3,Q15366-4,Q15366-5,Q15366-6";"Q15366-[1-6]";"PCBP2_HUMAN";"Poly(rC)-binding protein 2";"PCBP2";3;9;0,00191721204631309;3;2;5;4;NA;NA
"O14979-1,O14979-2,O14979-3";"O14979-1,O14979-2,O14979-3";"O14979-[1-3]";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRNPDL";2;2;0,00108608202694138;2;0;2;0;NA;NA
"P04004";"P04004";"P04004";"VTNC_HUMAN";"Vitronectin";"VTN";2;2;0,00143144702295622;2;NA;2;NA;0,00281008645272306;NA
"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";3;9;0,00478112196642674;3;3;5;4;0,00521436849534791;0,00511195165754877
"P05386-1";"P05386-1";"P05386-1";"RLA1_HUMAN";"60S acidic ribosomal protein P1";"RPLP1";2;2;0,00600203225414974;2;NA;2;NA;NA;NA
"P07437";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";4;8;0,00616424934209974;3;4;4;4;0,00605054650631361;0,00741463258437255
"P08575-1,P08575-2";"P08575-1,P08575-2";"P08575-[1,2]";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";2;9;0,00118061447330476;1;2;5;4;NA;NA
"P09651-1,P09651-2,P09651-3";"P09651-1,P09651-2,P09651-3";"P09651-[1-3]";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";3;17;0,00521144198411389;2;2;6;11;NA;NA
"P14174";"P14174";"P14174";"MIF_HUMAN";"Macrophage migration inhibitory factor";"MIF";2;15;0,0446238050199829;2;1;11;4;0,0642410198626862;0,0286269292822731
"P14618-1,P14618-3";"P14618-1,P14618-3";"P14618-[1,3]";"KPYM_HUMAN";"Pyruvate kinase PKM";"PKM";2;6;0,0019328578445567;2;NA;6;NA;NA;NA
"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-15,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8,P16070-9";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-15,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8,P16070-9";"P16070-[1,3-18]";"CD44_HUMAN";"CD44 antigen";"CD44";4;7;0,000189853406485314;3;3;3;4;NA;NA
"P23246-1";"P23246-1";"P23246-1";"SFPQ_HUMAN";"Splicing factor, proline- and glutamine-rich";"SFPQ";2;4;0,00193559173118266;2;1;2;2;NA;NA
"P23528";"P23528";"P23528";"COF1_HUMAN";"Cofilin-1";"CFL1";2;3;0,0061828163581904;NA;2;NA;3;NA;0,0148739316300967
"P24752";"P24752";"P24752";"THIL_HUMAN";"Acetyl-CoA acetyltransferase, mitochondrial";"ACAT1";2;4;0,0032048322106467;1;2;2;2;0,00314571738735743;0,00385491436470891
"P30050-1";"P30050-1";"P30050-1";"RL12_HUMAN";"60S ribosomal protein L12";"RPL12";2;6;0,0124405759449649;1;2;3;3;NA;NA
"P61604";"P61604";"P61604";"CH10_HUMAN";"10 kDa heat shock protein, mitochondrial";"HSPE1";2;7;0,0234785379353505;1;2;3;4;0,0197532547706121;0,0322754594849158
"P61769";"P61769";"P61769";"B2MG_HUMAN";"Beta-2-microglobulin";"B2M";2;4;0,0114996920499676;NA;2;NA;4;NA;0,0276646795584993
"P63104-1";"P63104-1";"P63104-1";"1433Z_HUMAN";"14-3-3 protein zeta/delta";"YWHAZ";2;2;0,00279278235499213;2;NA;2;NA;NA;NA
"Q02790";"Q02790";"Q02790";"FKBP4_HUMAN";"Peptidyl-prolyl cis-trans isomerase FKBP4";"FKBP4";2;2;0,00149070082129209;2;NA;2;NA;0,00292640811416475;NA
"Q08170";"Q08170";"Q08170";"SRSF4_HUMAN";"Serine/arginine-rich splicing factor 4";"SRSF4";2;2;0,00138508436634225;NA;2;NA;2;NA;0,0033320818496573
"Q13185";"Q13185";"Q13185";"CBX3_HUMAN";"Chromobox protein homolog 3";"CBX3";2;2;0,00373897091242115;2;NA;2;NA;0,00734000723716733;NA
"O75947-1,O75947-2";"O75947-1,O75947-2";"O75947-[1,2]";"ATP5H_HUMAN";"ATP synthase subunit d, mitochondrial";"ATP5H";1;1;0,00106247154809483;1;NA;1;NA;NA;NA
"P01892,P10316,P10321";"P01892,P10316,P10321";"P10316, P10321, P01892";"1A02_HUMAN, 1A69_HUMAN, 1C07_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain, HLA class I histocompatibility antigen, A-69 alpha chain, HLA class I histocompatibility antigen, Cw-7 alpha chain";"HLA-A, HLA-C";1;1;0,000416199316893595;1;NA;1;NA;0,000817044601217531;NA
"P04908,Q7L7L0,Q93077";"P04908,Q7L7L0,Q93077";"Q7L7L0, P04908, Q93077";"H2A1B_HUMAN, H2A1C_HUMAN, H2A3_HUMAN";"Histone H2A type 1-B/E, Histone H2A type 1-C, Histone H2A type 3";"HIST1H2AC, HIST1H2AE,HIST1H2AB, HIST3H2A";1;1;0,00555572729166169;1;0;1;0;0,0103324717261663;0
"P07237";"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";1;2;0,00134691274994699;1;1;1;1;0,00132206823267876;0,00162012641115227
"P08107-1,P08107-2,P17066";"P08107-1,P08107-2,P17066";"P08107-[1,2], P17066";"HSP71_HUMAN, HSP76_HUMAN";"Heat shock 70 kDa protein 1A/1B, Heat shock 70 kDa protein 6";"HSPA1A,HSPA1B, HSPA6";1;1;0,000192132447026485;0;1;0;1;NA;0,00136530715083936
"P09496-2,P09496-5";"P09496-2,P09496-5";"P09496-[2,5]";"CLCA_HUMAN";"Clathrin light chain A";"CLTA";1;1;0,000689749674368015;NA;1;NA;1;NA;NA
"P09874";"P09874";"P09874";"PARP1_HUMAN";"Poly [ADP-ribose] polymerase 1";"PARP1";1;1;0,000337392345647471;NA;1;NA;1;NA;0,00081166096337806
"P0C0S5,Q71UI9-1";"P0C0S5,Q71UI9-1";"P0C0S5, Q71UI9-1";"H2AV_HUMAN, H2AZ_HUMAN";"Histone H2A.V, Histone H2A.Z";"H2AFV, H2AFZ";2;3;0,0187094599172324;2;1;2;1;0,0419756663875507;0,0385792601655634
"P10412,P16402";"P10412,P16402";"P10412, P16402";"H13_HUMAN, H14_HUMAN";"Histone H1.3, Histone H1.4";"HIST1H1D, HIST1H1E";9;78;0,060647807731704;9;8;46;32;0,0702138419573575;0,0598563066811166
"P11142-1";"P11142-1";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";7;14;0,00863328884251507;5;4;8;6;NA;NA
"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";1;3;0,0011962092254774;1;1;2;1;0,00156552601911611;0,000959235683992253
"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";1;3;0,00163691788749538;1;NA;3;NA;0,00321344814450149;NA
"P31943,P55795";"P31943,P55795";"P31943, P55795";"HNRH1_HUMAN, HNRH2_HUMAN";"Heterogeneous nuclear ribonucleoprotein H, Heterogeneous nuclear ribonucleoprotein H2";"HNRNPH1, HNRNPH2";1;2;0,000761950642508988;1;1;1;1;0,00074789606035725;0,000916508036598388
"P35527";"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";1;11;0,00604056857680881;1;1;4;7;0,00431210698042254;0,00924746311084666
"P35579-1";"P35579-1";"P35579-1";"MYH9_HUMAN";"Myosin-9";"MYH9";6;9;0,00157094007468307;4;5;4;5;NA;NA
"P37108";"P37108";"P37108";"SRP14_HUMAN";"Signal recognition particle 14 kDa protein";"SRP14";1;2;0,00503111527186082;1;1;1;1;0,00493831369265302;0,00605164865342171
"P51149";"P51149";"P51149";"RAB7A_HUMAN";"Ras-related protein Rab-7a";"RAB7A";1;1;0,00165273351925863;1;NA;1;NA;0,00324449595266092;NA
"P51991-1,P51991-2";"P51991-1,P51991-2";"P51991-[1,2]";"ROA3_HUMAN";"Heterogeneous nuclear ribonucleoprotein A3";"HNRNPA3";1;1;0,000452534177892243;1;NA;1;NA;NA;NA
"P52597";"P52597";"P52597";"HNRPF_HUMAN";"Heterogeneous nuclear ribonucleoprotein F";"HNRNPF";1;1;0,000824375514425387;NA;1;NA;1;NA;0,0019831908840129
"P55209-1,P55209-2";"P55209-1,P55209-2";"P55209-[1,2]";"NP1L1_HUMAN";"Nucleosome assembly protein 1-like 1";"NAP1L1";1;2;0,000874976569019272;1;1;1;1;NA;NA
"P60174-1,P60174-3";"P60174-1,P60174-3";"P60174-[1,3]";"TPIS_HUMAN";"Triosephosphate isomerase";"TPI1";4;21;0,0125601968675127;4;4;11;10;NA;NA
"P60709,P63261";"P60709,P63261";"P63261, P60709";"ACTB_HUMAN, ACTG_HUMAN";"Actin, cytoplasmic 1, Actin, cytoplasmic 2";"ACTB, ACTG1";6;40;0,0182461780526152;6;6;20;20;0,0179096176586883;0,0219473124497427
"P62241";"P62241";"P62241";"RS8_HUMAN";"40S ribosomal protein S8";"RPS8";1;3;0,00493436305509426;1;NA;3;NA;0,00968669224328092;NA
"P62263";"P62263";"P62263";"RS14_HUMAN";"40S ribosomal protein S14";"RPS14";1;1;0,00226566780454659;1;NA;1;NA;0,00444775272980669;NA
"P62854";"P62854";"P62854";"RS26_HUMAN";"40S ribosomal protein S26";"RPS26";1;1;0,00297492033466553;1;NA;1;NA;0,00584009271478966;NA
"P68431,P84243,Q16695,Q71DI3";"P68431,P84243,Q16695,Q71DI3";"Q71DI3, P68431, P84243, Q16695";"H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN";"Histone H3.1, Histone H3.1t, Histone H3.2, Histone H3.3";"H3F3B,H3F3A, HIST1H3A,HIST1H3B,HIST1H3J,HIST1H3E,HIST1H3D,HIST1H3H,HIST1H3F,HIST1H3I,HIST1H3G,HIST1H3C, HIST2H3D,HIST2H3C,HIST2H3A, HIST3H3";6;77;0,0484244844916603;4;6;35;42;0,0432102448107139;0,063542310860928
"Q00839-1,Q00839-2";"Q00839-1,Q00839-2";"Q00839-[1,2]";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";1;3;0,000622028797248246;1;NA;3;NA;NA;NA
"Q04837";"Q04837";"Q04837";"SSBP_HUMAN";"Single-stranded DNA-binding protein, mitochondrial";"SSBP1";1;1;0,0023115935032874;NA;1;NA;1;NA;0,00556097443827941
"Q13151";"Q13151";"Q13151";"ROA0_HUMAN";"Heterogeneous nuclear ribonucleoprotein A0";"HNRNPA0";1;2;0,00224338254745269;1;1;1;1;0,0022020021711502;0,00269844005529624
"Q13263-1,Q13263-2";"Q13263-1,Q13263-2";"Q13263-[1,2]";"TIF1B_HUMAN";"Transcription intermediary factor 1-beta";"TRIM28";1;2;0,000409719567049743;1;NA;2;NA;NA;NA
"Q14103-1,Q14103-2,Q14103-3,Q14103-4";"Q14103-1,Q14103-2,Q14103-3,Q14103-4";"Q14103-[1-4]";"HNRPD_HUMAN";"Heterogeneous nuclear ribonucleoprotein D0";"HNRNPD";1;2;0,000963706587286015;0;1;0;2;NA;NA
"Q9BVC6";"Q9BVC6";"Q9BVC6";"TM109_HUMAN";"Transmembrane protein 109";"TMEM109";1;1;0,00140788410899809;NA;1;NA;1;NA;0,00338693093360228
"P62807";"P62807";"P62807";"H2B1C_HUMAN";"Histone H2B type 1-C/E/F/G/I";"HIST1H2BI,HIST1H2BG,HIST1H2BC,HIST1H2BE,HIST1H2BF";0;0;NA;0;0;0;0;NA;NA
"O60814";"O60814";"O60814";"H2B1K_HUMAN";"Histone H2B type 1-K";"HIST1H2BK";0;0;NA;0;0;0;0;NA;NA
"Q16778";"Q16778";"Q16778";"H2B2E_HUMAN";"Histone H2B type 2-E";"HIST2H2BE";0;0;NA;0;0;0;0;NA;NA
"P06899";"P06899";"P06899";"H2B1J_HUMAN";"Histone H2B type 1-J";"HIST1H2BJ";0;0;NA;0;0;0;0;NA;NA
"P68363";"P68363";"P68363";"TBA1B_HUMAN";"Tubulin alpha-1B chain";"TUBA1B";6;13;0,00986143215149659;6;3;9;4;0,0134024300660916;0,00729954959525812
"P07910-1,P07910-2";"P07910-1,P07910-2";"P07910-[1,2]";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";5;13;0,00726716650379896;5;3;8;5;NA;NA
"O60506-1,O60506-2,O60506-3,O60506-4";"O60506-1,O60506-2,O60506-3,O60506-4";"O60506-[1-4]";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";2;2;0,00054914259789171;1;1;1;1;NA;NA
"P0C0S8,P20671,Q16777,Q6FI13,Q96KK5,Q99878,Q9BTM1-1";"P0C0S8,P20671,Q16777,Q6FI13,Q96KK5,Q99878,Q9BTM1-1";"P0C0S8, P20671, Q16777, Q6FI13, Q96KK5, Q99878, Q9BTM1-1";"H2A1_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2C_HUMAN, H2AJ_HUMAN";"Histone H2A type 1, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A type 2-A, Histone H2A type 2-C, Histone H2A.J";"H2AFJ, HIST1H2AD, HIST1H2AH, HIST1H2AJ, HIST1H2AK,HIST1H2AI,HIST1H2AG,HIST1H2AL,HIST1H2AM, HIST2H2AA4,HIST2H2AA3, HIST2H2AC";1;2;0,00479365850386738;1;1;1;1;0,00519956641703853;0,00743376712007416
"O43390-1,O43390-2";"O43390-1,O43390-2";"O43390-[1,2]";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";2;3;0,00162140207813524;2;1;2;1;NA;NA
"Q95604";"Q95604";"Q95604";"1C17_HUMAN";"HLA class I histocompatibility antigen, Cw-17 alpha chain";"HLA-C";1;2;0,00245244328664183;1;NA;2;NA;0,00481441334910975;NA
